#Digilent WaveForms Oscilloscope Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321B201B0
#Date Time: 2024-09-26 11:44:39.477
#Sample rate: 1772.99Hz
#Samples: 8192
#Trigger: Source: Channel 2 Type: Edge Condition: Rising Level: 2.5 V Hyst.: Auto HoldOff: 0 s
#Channel 1: Range: 10 mV/div Offset: 0 V Sample Mode: Average
#Channel 2: Range: 1 V/div Offset: 0 V Sample Mode: Average
#Wavegen Channel 1: Running
#Mode: Simple
#Type: Triangle
#Frequency: 1 Hz
#Period: 1 s
#Amplitude: 2.5 V
#Offset: 2.5 V
#Symmetry: 50 %
#Phase: 0 °

Time (s),Channel 1 (V),Channel 2 (V)
-0.10293365,0.01098851777295694,1.475577653258587
-0.10236963,0.01098851777295694,1.479271289405549
-0.10180561,0.01098851777295694,1.486658561699471
-0.10124159,0.01098851777295694,1.490352197846432
-0.10067757,0.01098851777295694,1.497739470140354
-0.10011355,0.01098851777295694,1.505126742434276
-0.09954953000000001,0.01098851777295694,1.508820378581238
-0.09898551000000001,0.01098851777295694,1.51620765087516
-0.09842149,0.01098851777295694,1.519901287022121
-0.09785747,0.01098851777295694,1.527288559316043
-0.09729345,0.01098851777295694,1.530982195463004
-0.09672943000000001,0.01132349582933104,1.538369467756927
-0.09616541000000001,0.01132349582933104,1.542063103903888
-0.09560139000000001,0.01098851777295694,1.54945037619781
-0.09503737000000001,0.01098851777295694,1.553144012344771
-0.09447335000000001,0.01132349582933104,1.560531284638693
-0.09390933,0.01132349582933104,1.564224920785654
-0.09334531,0.01098851777295694,1.571612193079577
-0.09278129,0.01132349582933104,1.575305829226538
-0.09221727,0.01132349582933104,1.58269310152046
-0.09165325000000001,0.01132349582933104,1.590080373814382
-0.09108923000000001,0.01132349582933104,1.593774009961344
-0.09052521000000001,0.01132349582933104,1.597467646108305
-0.08996119000000001,0.01132349582933104,1.604854918402227
-0.08939717000000001,0.01132349582933104,1.612242190696149
-0.08883315,0.01165847388570514,1.61593582684311
-0.08826913,0.01165847388570514,1.619629462990071
-0.08770511,0.01165847388570514,1.627016735283993
-0.08714109,0.01165847388570514,1.634404007577916
-0.08657707000000001,0.01165847388570514,1.641791279871838
-0.08601305000000001,0.01165847388570514,1.645484916018799
-0.08544903000000001,0.01165847388570514,1.64917855216576
-0.08488501000000001,0.01165847388570514,1.652872188312722
-0.08432099000000001,0.01165847388570514,1.660259460606644
-0.08375697,0.01165847388570514,1.667646732900566
-0.08319295,0.01199345194207923,1.671340369047527
-0.08262893,0.01199345194207923,1.678727641341449
-0.08206491,0.01199345194207923,1.68242127748841
-0.08150089000000001,0.01199345194207923,1.689808549782333
-0.08093687000000001,0.01199345194207923,1.693502185929294
-0.08037285000000001,0.01199345194207923,1.700889458223216
-0.07980883000000001,0.01199345194207923,1.704583094370177
-0.07924481,0.01199345194207923,1.7119703666641
-0.07868079,0.01199345194207923,1.715664002811061
-0.07811677,0.01199345194207923,1.723051275104983
-0.07755275,0.01199345194207923,1.726744911251944
-0.07698873000000001,0.01199345194207923,1.734132183545866
-0.07642471000000001,0.01199345194207923,1.737825819692827
-0.07586069000000001,0.01232842999845333,1.74521309198675
-0.07529667000000001,0.01232842999845333,1.748906728133711
-0.07473265000000001,0.01232842999845333,1.756294000427633
-0.07416863,0.01232842999845333,1.763681272721555
-0.07360461,0.01232842999845333,1.767374908868516
-0.07304059,0.01232842999845333,1.774762181162439
-0.07247657,0.01232842999845333,1.7784558173094
-0.07191255000000001,0.01232842999845333,1.782149453456361
-0.07134853000000001,0.01266340805482743,1.789536725750283
-0.07078451000000001,0.01266340805482743,1.793230361897244
-0.07022049000000001,0.01266340805482743,1.800617634191166
-0.06965647,0.01266340805482743,1.804311270338128
-0.06909245,0.01266340805482743,1.81169854263205
-0.06852843,0.01266340805482743,1.819085814925972
-0.06796441,0.01299838611120153,1.822779451072933
-0.06740039,0.01299838611120153,1.830166723366855
-0.06683637000000001,0.01299838611120153,1.833860359513817
-0.06627235000000001,0.01299838611120153,1.841247631807739
-0.06570833000000001,0.01299838611120153,1.8449412679547
-0.06514431000000001,0.01299838611120153,1.852328540248622
-0.06458029,0.01333336416757562,1.859715812542544
-0.06401627,0.01299838611120153,1.863409448689506
-0.06345225,0.01333336416757562,1.870796720983428
-0.06288823,0.01333336416757562,1.87818399327735
-0.06232421,0.01333336416757562,1.881877629424311
-0.06176019000000001,0.01333336416757562,1.885571265571272
-0.06119617,0.01333336416757562,1.892958537865195
-0.06063215,0.01333336416757562,1.896652174012156
-0.06006813,0.01333336416757562,1.904039446306078
-0.05950411000000001,0.01333336416757562,1.907733082453039
-0.05894009000000001,0.01333336416757562,1.915120354746961
-0.05837607,0.01333336416757562,1.918813990893923
-0.05781205,0.01366834222394972,1.926201263187845
-0.05724803000000001,0.01333336416757562,1.929894899334806
-0.05668401000000001,0.01366834222394972,1.937282171628728
-0.05611999,0.01366834222394972,1.940975807775689
-0.05555597,0.01366834222394972,1.948363080069611
-0.05499195,0.01366834222394972,1.952056716216573
-0.05442793000000001,0.01366834222394972,1.959443988510495
-0.05386391,0.01366834222394972,1.963137624657456
-0.05329989,0.01366834222394972,1.970524896951378
-0.05273587,0.01400332028032382,1.974218533098339
-0.05217185000000001,0.01400332028032382,1.981605805392262
-0.05160783,0.01400332028032382,1.988993077686184
-0.05104381,0.01400332028032382,1.992686713833145
-0.05047979,0.01400332028032382,2.000073986127067
-0.04991577000000001,0.01400332028032382,2.003767622274028
-0.04935175000000001,0.01400332028032382,2.011154894567951
-0.04878773,0.01400332028032382,2.014848530714912
-0.04822371,0.01433829833669792,2.018542166861873
-0.04765969,0.01433829833669792,2.025929439155795
-0.04709567000000001,0.01433829833669792,2.029623075302756
-0.04653165,0.01433829833669792,2.037010347596679
-0.04596763,0.01433829833669792,2.04070398374364
-0.04540361,0.01433829833669792,2.048091256037562
-0.04483959000000001,0.01433829833669792,2.055478528331484
-0.04427557,0.01433829833669792,2.059172164478445
-0.04371155,0.01433829833669792,2.062865800625406
-0.04314753,0.01467327639307201,2.070253072919328
-0.04258351,0.01467327639307201,2.077640345213251
-0.04201949000000001,0.01467327639307201,2.081333981360212
-0.04145547,0.01467327639307201,2.085027617507173
-0.04089145,0.01467327639307201,2.092414889801095
-0.04032743,0.01467327639307201,2.099802162095018
-0.03976341000000001,0.01500825444944611,2.103495798241979
-0.03919939,0.01500825444944611,2.110883070535901
-0.03863537,0.01500825444944611,2.114576706682862
-0.03807135,0.01500825444944611,2.121963978976785
-0.03750733000000001,0.01500825444944611,2.129351251270707
-0.03694331,0.01500825444944611,2.133044887417668
-0.03637929,0.01500825444944611,2.136738523564629
-0.03581527,0.01500825444944611,2.144125795858551
-0.03525125,0.01534323250582021,2.147819432005512
-0.03468723,0.01534323250582021,2.155206704299435
-0.03412321,0.01534323250582021,2.162593976593357
-0.03355919,0.01534323250582021,2.166287612740318
-0.03299517,0.01534323250582021,2.17367488503424
-0.03243115000000001,0.01534323250582021,2.177368521181201
-0.03186713,0.01534323250582021,2.184755793475123
-0.03130311,0.01534323250582021,2.188449429622084
-0.03073909,0.01534323250582021,2.195836701916007
-0.03017507,0.01534323250582021,2.199530338062968
-0.02961105,0.01534323250582021,2.20691761035689
-0.02904703,0.01567821056219431,2.210611246503851
-0.02848301,0.01567821056219431,2.217998518797774
-0.02791899,0.01567821056219431,2.221692154944735
-0.02735497,0.01567821056219431,2.225385791091696
-0.02679095,0.01567821056219431,2.232773063385618
-0.02622693,0.01601318861856841,2.236466699532579
-0.02566291,0.01601318861856841,2.243853971826502
-0.02509889,0.01601318861856841,2.251241244120424
-0.02453487,0.01601318861856841,2.254934880267385
-0.02397085,0.01601318861856841,2.262322152561307
-0.02340683,0.01601318861856841,2.266015788708268
-0.02284281,0.01601318861856841,2.269709424855229
